go_id,go_name,go_definition,num_biomarkers,biomarkers
2521,leukocyte differentiation,"The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue.",1,LEPR
5789,endoplasmic reticulum membrane,The lipid bilayer surrounding the endoplasmic reticulum.,1,NUS1
45088,regulation of innate immune response,"Any process that modulates the frequency, rate or extent of the innate immune response, the organism's first line of defense against infection.",1,ERBIN
50776,regulation of immune response,"Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus.",1,ERBIN
5774,vacuolar membrane,The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell.,1,CUBN
2684,positive regulation of immune system process,"Any process that activates or increases the frequency, rate, or extent of an immune system process.",1,ERBIN
51726,regulation of cell cycle,Any process that modulates the rate or extent of progression through the cell cycle.,1,CDCA5
7346,regulation of mitotic cell cycle,Any process that modulates the rate or extent of progress through the mitotic cell cycle.,1,CDCA5
30141,secretory granule,"A small subcellular vesicle, surrounded by a membrane, that is formed from the Golgi apparatus and contains a highly concentrated protein destined for secretion. Secretory granules move towards the periphery of the cell and upon stimulation, their membranes fuse with the cell membrane, and their protein load is exteriorized. Processing of the contained protein may take place in secretory granules.",1,TGFB3
44087,regulation of cellular component biogenesis,"Any process that modulates the frequency, rate or extent of cellular component biogenesis, a process that results in the biosynthesis of constituent macromolecules, assembly, and arrangement of constituent parts of a cellular component.",1,TGFB3
99503,secretory vesicle,"A cytoplasmic, membrane bound vesicle that is capable of fusing to the plasma membrane to release its contents into the extracellular space.",1,TGFB3
44770,cell cycle phase transition,The cell cycle process by which a cell commits to entering the next cell cycle phase.,1,CDCA5
2831,regulation of response to biotic stimulus,"Any process that modulates the frequency, rate, or extent of a response to biotic stimulus.",1,ERBIN
30055,cell-substrate junction,A cell junction that forms a connection between a cell and the extracellular matrix.,1,ERBIN
80134,regulation of response to stress,"Any process that modulates the frequency, rate or extent of a response to stress. Response to stress is a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).",1,ERBIN
32101,regulation of response to external stimulus,"Any process that modulates the frequency, rate or extent of a response to an external stimulus.",1,ERBIN
45087,innate immune response,Innate immune responses are defense responses mediated by germline encoded components that directly recognize components of potential pathogens.,1,ERBIN
6368,transcription elongation by RNA polymerase II,The extension of an RNA molecule after transcription pausing and promoter clearance at an RNA polymerase II promoter by the addition of ribonucleotides catalyzed by RNA polymerase II.,1,CTR9
2757,immune response-activating signaling pathway,The series of molecular signals generated by a ligand binding to its receptor that lead to the activation or perpetuation of an immune response.,1,ERBIN
98542,defense response to other organism,Reactions triggered in response to the presence of another organism that act to protect the cell or organism from damage caused by that organism.,1,ERBIN
98827,endoplasmic reticulum subcompartment,A distinct region of the endoplasmic reticulum.,1,NUS1
9895,negative regulation of catabolic process,"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of substances.",1,LEPR
51493,regulation of cytoskeleton organization,"Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures.",1,TGFB3
9894,regulation of catabolic process,"Any process that modulates the frequency, rate, or extent of the chemical reactions and pathways resulting in the breakdown of substances.",1,LEPR
10564,regulation of cell cycle process,Any process that modulates a cellular process that is involved in the progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events.,1,CDCA5
2764,immune response-regulating signaling pathway,"The cascade of processes by which a signal interacts with a receptor, causing a change in the level or activity of a second messenger or other downstream target, and ultimately leading to the activation, perpetuation, or inhibition of an immune response.",1,ERBIN
140546,defense response to symbiont,Reactions triggered in response to the presence of a symbiont that act to protect or prevent damage to the host.,1,ERBIN
33043,regulation of organelle organization,"Any process that modulates the frequency, rate or extent of a process involved in the formation, arrangement of constituent parts, or disassembly of an organelle.",1,TGFB3
323,lytic vacuole,"A vacuole that is maintained at an acidic pH and which contains degradative enzymes, including a wide variety of acid hydrolases.",1,CUBN
42953,lipoprotein transport,"The directed movement of any conjugated, water-soluble protein in which the nonprotein group consists of a lipid or lipids, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",1,CUBN
5764,lysosome,"A small lytic vacuole that has cell cycle-independent morphology found in most animal cells and that contains a variety of hydrolases, most of which have their maximal activities in the pH range 5-6. The contained enzymes display latency if properly isolated. About 40 different lysosomal hydrolases are known and lysosomes have a great variety of morphologies and functions.",1,CUBN
5773,vacuole,"A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol.",1,CUBN
44872,lipoprotein localization,"Any process in which a lipoprotein is transported to, or maintained in, a specific location.",1,CUBN
5765,lysosomal membrane,The lipid bilayer surrounding the lysosome and separating its contents from the cell cytoplasm.,1,CUBN
44772,mitotic cell cycle phase transition,The cell cycle process by which a cell commits to entering the next mitotic cell cycle phase.,1,CDCA5
98852,lytic vacuole membrane,The lipid bilayer surrounding a lytic vacuole and separating its contents from the cytoplasm of the cell.,1,CUBN
46785,microtubule polymerization,The addition of tubulin heterodimers to one or both ends of a microtubule.,1,RANBP9
151,ubiquitin ligase complex,A protein complex that includes a ubiquitin-protein ligase and enables ubiquitin protein ligase activity. The complex also contains other proteins that may confer substrate specificity on the complex.,1,RANBP9
51258,protein polymerization,"The process of creating protein polymers, compounds composed of a large number of component monomers; polymeric proteins may be made up of different or identical monomers. Polymerization occurs by the addition of extra monomers to an existing poly- or oligomeric protein.",1,RANBP9
5813,centrosome,"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle.",1,SPATC1L
5815,microtubule organizing center,"An intracellular structure that can catalyze gamma-tubulin-dependent microtubule nucleation and that can anchor microtubules by interacting with their minus ends, plus ends or sides.",1,SPATC1L
1932,regulation of protein phosphorylation,"Any process that modulates the frequency, rate or extent of addition of phosphate groups into an amino acid in a protein.",1,MAP7
34976,response to endoplasmic reticulum stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stress acting at the endoplasmic reticulum. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen.",1,PDIA4
42175,nuclear outer membrane-endoplasmic reticulum membrane network,The continuous network of membranes encompassing the nuclear outer membrane and the endoplasmic reticulum membrane.,1,NUS1
